Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Feb 24,Friday,1,"$8,688,985",-,-,"3,534","$2,458","$8,688,985",1,false
Feb 25,Saturday,2,"$8,914,025",+2.6%,-,"3,534","$2,522","$17,603,010",2,false
Feb 26,Sunday,2,"$5,657,780",-36.5%,-,"3,534","$1,600","$23,260,790",3,false
