Dates,Top 10 Gross,%± LW,Overall Gross,%± LW,Releases,#1 Release,Genre,Budget,Running Time,Week,Long Weekend
Feb 17-23,"$183,771,488",+150.9%,"$193,075,332",+135.9%,63,Ant-Man and the Wasp: Quantumania,-,-,-,7,false
Feb 10-16,"$73,245,180",-18.6%,"$81,844,819",-20.4%,65,Magic Mike's Last Dance,-,-,-,6,false
Feb 3-9,"$89,952,549",+11.2%,"$102,841,125",+8.2%,63,80 for Brady,-,-,-,5,false
Jan 27-Feb 2,"$80,874,575",-14.9%,"$95,028,163",-7.3%,62,Avatar: The Way of Water,-,-,-,4,false
Jan 20-26,"$95,033,308",-33.2%,"$102,525,798",-30.6%,58,Avatar: The Way of Water,-,-,-,3,false
Jan 13-19,"$142,235,096",+3.3%,"$147,706,331",+4.8%,50,Avatar: The Way of Water,-,-,-,2,false
Jan 6-12,"$137,624,992",-21.2%,"$140,978,878",-20.2%,41,Avatar: The Way of Water,-,-,-,1,false
